1, spades, black, cards/aceSpades.png, 
2, spades, black, cards/twoSpades.png, 
3, spades, black, ards/threeSpades.png, 
4, spades, black, cards/fourSpades.png, 
5, spades, black, cards/fiveSpades.png, 
6, spades, black, cards/sixSpades.png, 
7, spades, black, cards/sevenSpades.png, 
8, spades, black, cards/eightSpades.png,  
9, spades, black, cards/nineSpades.png, 
10, spades, black, cards/tenSpades.png,  
11, spades, black, cards/jackSpades.png, 
12, spades, black, cards/queenSpades.png, 
13, spades, black, cards/kingSpades.png, 
1, clubs, black, cards/aceClubs.png, 
2, clubs, black, cards/twoClubs.png, 
3, clubs, black, cards/threeClubs.png, 
4, clubs, black, cards/fourClubs.png, 
5, clubs, black, cards/fiveClubs.png, 
6, clubs, black, cards/sixClubs.png, 
7, clubs, black, cards/sevenClubs.png, 
8, clubs, black, cards/eightClubs.png, 
9, clubs, black, cards/nineClubs.png, 
10, clubs, black, cards/tenClubs.png, 
11, clubs, black, cards/jackClubs.png, 
12, clubs, black, cards/queenClubs.png, 
13, clubs, black, cards/kingClubs.png, 
1, hearts, red, cards/aceHearts.png, 
2, hearts, red, cards/twoHearts.png, 
3, hearts, red, cards/threeHearts.png, 
4, hearts, red, cards/fourHearts.png, 
5, hearts, red, cards/fiveHearts.png, 
6, hearts, red, cards/sixHearts.png, 
7, hearts, red, cards/sevenHearts.png, 
8, hearts, red, cards/eightHearts.png, 
9, hearts, red, cards/nineHearts.png, 
10, hearts, red, cards/tenHearts.png, 
11, hearts, red, cards/jackHearts.png, 
12, hearts, red, cards/queenHearts.png, 
13, hearts, red, cards/kingHearts.png, 
1, diamonds, red, cards/aceDiamonds.png, 
2, diamonds, red, cards/twoDiamonds.png, 
3, diamonds, red, cards/threeDiamonds.png, 
4, diamonds, red, cards/fourDiamonds.png, 
5, diamonds, red, cards/fiveDiamonds.png, 
6, diamonds, red, cards/sixDiamonds.png, 
7, diamonds, red, cards/sevenDiamonds.png, 
8, diamonds, red, cards/eightDiamonds.png, 
9, diamonds, red, cards/nineDiamonds.png, 
10, diamonds, red, cards/tenDiamonds.png, 
11, diamonds, red, cards/jackDiamonds.png, 
12, diamonds, red, cards/queenDiamonds.png, 
13, diamonds, red, cards/kingDiamonds.png, 
